"KMETIJSKE KULTURE","LETO","STATISTIÈNA REGIJA",Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur
"Jeèmen","2010","Gorenjska",4.7
"Jeèmen","2010","Primorsko-notranjska",4.0
"Jeèmen","2010","Goriška",3.7
"Jeèmen","2010","Obalno-kraška",2.9
"Jeèmen","2011","Pomurska",4.8
"Jeèmen","2011","Podravska",4.8
"Jeèmen","2011","Koroška",3.3
"Jeèmen","2011","Savinjska",4.1
"Jeèmen","2011","Zasavska",3.5
"Jeèmen","2011","Posavska",4.2
"Jeèmen","2011","Jugovzhodna Slovenija",3.8
"Jeèmen","2011","Osrednjeslovenska",4.5
"Jeèmen","2011","Gorenjska",4.7
"Jeèmen","2011","Primorsko-notranjska",4.2
"Jeèmen","2011","Goriška",4.3
"Jeèmen","2011","Obalno-kraška",3.5
"Jeèmen","2012","Pomurska",5.2
"Jeèmen","2012","Podravska",4.9
"Jeèmen","2012","Koroška",3.3
"Jeèmen","2012","Savinjska",4.0
"Jeèmen","2012","Zasavska",3.0
"Jeèmen","2012","Posavska",4.5
"Jeèmen","2012","Jugovzhodna Slovenija",3.7
"Jeèmen","2012","Osrednjeslovenska",4.5
"Jeèmen","2012","Gorenjska",4.9
"Jeèmen","2012","Primorsko-notranjska",3.9
"Jeèmen","2012","Goriška",3.6
"Jeèmen","2012","Obalno-kraška",3.1
"Jeèmen","2013","Pomurska",3.9
"Jeèmen","2013","Podravska",4.7
"Jeèmen","2013","Koroška",3.3
"Jeèmen","2013","Savinjska",4.3
"Jeèmen","2013","Zasavska",3.1
"Jeèmen","2013","Posavska",3.8
"Jeèmen","2013","Jugovzhodna Slovenija",2.7
"Jeèmen","2013","Osrednjeslovenska",3.8
"Jeèmen","2013","Gorenjska",4.7
"Jeèmen","2013","Primorsko-notranjska",4.1
"Jeèmen","2013","Goriška",2.6
"Jeèmen","2013","Obalno-kraška",3.2
"Jeèmen","2014","Pomurska",4.9
"Jeèmen","2014","Podravska",5.2
"Jeèmen","2014","Koroška",3.6
"Jeèmen","2014","Savinjska",4.7
"Jeèmen","2014","Zasavska",3.5
"Jeèmen","2014","Posavska",4.5
"Jeèmen","2014","Jugovzhodna Slovenija",4.0
"Jeèmen","2014","Osrednjeslovenska",4.6
"Jeèmen","2014","Gorenjska",5.9
"Jeèmen","2014","Primorsko-notranjska",4.2
"Jeèmen","2014","Goriška",3.6
"Jeèmen","2014","Obalno-kraška",3.6
"Jeèmen","2015","Pomurska",4.5
"Jeèmen","2015","Podravska",4.9
"Jeèmen","2015","Koroška",4.0
"Jeèmen","2015","Savinjska",4.6
"Jeèmen","2015","Zasavska",3.3
"Jeèmen","2015","Posavska",4.6
"Jeèmen","2015","Jugovzhodna Slovenija",3.9
"Jeèmen","2015","Osrednjeslovenska",4.8
"Jeèmen","2015","Gorenjska",5.6
"Jeèmen","2015","Primorsko-notranjska",4.3
"Jeèmen","2015","Goriška",4.3
"Jeèmen","2015","Obalno-kraška",3.4
"Jeèmen","2016","Pomurska",4.6
"Jeèmen","2016","Podravska",5.3
"Jeèmen","2016","Koroška",4.0
"Jeèmen","2016","Savinjska",4.7
"Jeèmen","2016","Zasavska",2.8
"Jeèmen","2016","Posavska",4.6
"Jeèmen","2016","Jugovzhodna Slovenija",4.1
"Jeèmen","2016","Osrednjeslovenska",4.9
"Jeèmen","2016","Gorenjska",5.3
"Jeèmen","2016","Primorsko-notranjska",4.3
"Jeèmen","2016","Goriška",4.2
"Jeèmen","2016","Obalno-kraška",3.2
"Jeèmen","2017","Pomurska",5.1
"Jeèmen","2017","Podravska",5.2
"Jeèmen","2017","Koroška",4.1
"Jeèmen","2017","Savinjska",4.3
"Jeèmen","2017","Zasavska",2.8
"Jeèmen","2017","Posavska",3.9
"Jeèmen","2017","Jugovzhodna Slovenija",3.6
"Jeèmen","2017","Osrednjeslovenska",4.9
"Jeèmen","2017","Gorenjska",5.6
"Jeèmen","2017","Primorsko-notranjska",4.2
"Jeèmen","2017","Goriška",3.7
"Jeèmen","2017","Obalno-kraška",2.9
"Jeèmen","2018","Pomurska",4.1
"Jeèmen","2018","Podravska",4.5
"Jeèmen","2018","Koroška",4.1
"Jeèmen","2018","Savinjska",3.9
"Jeèmen","2018","Zasavska",2.2
"Jeèmen","2018","Posavska",4.2
"Jeèmen","2018","Jugovzhodna Slovenija",3.5
"Jeèmen","2018","Osrednjeslovenska",4.3
"Jeèmen","2018","Gorenjska",4.6
"Jeèmen","2018","Primorsko-notranjska",4.4
"Jeèmen","2018","Goriška",4.4
"Jeèmen","2018","Obalno-kraška",3.4
"Jeèmen","2019","Pomurska",5.6
"Jeèmen","2019","Podravska",4.6
"Jeèmen","2019","Koroška",5.0
"Jeèmen","2019","Savinjska",4.1
"Jeèmen","2019","Zasavska",2.3
"Jeèmen","2019","Posavska",4.7
"Jeèmen","2019","Jugovzhodna Slovenija",4.0
"Jeèmen","2019","Osrednjeslovenska",4.8
"Jeèmen","2019","Gorenjska",4.8
"Jeèmen","2019","Primorsko-notranjska",4.6
"Jeèmen","2019","Goriška",4.4
"Jeèmen","2019","Obalno-kraška",3.5
"Tritikala","2010","Pomurska",4.0
"Tritikala","2010","Podravska",4.2
"Tritikala","2010","Koroška",3.2
"Tritikala","2010","Savinjska",4.5
"Tritikala","2010","Zasavska",3.5
"Tritikala","2010","Posavska",3.7
"Tritikala","2010","Jugovzhodna Slovenija",3.4
"Tritikala","2010","Osrednjeslovenska",4.5
"Tritikala","2010","Gorenjska",4.0
"Tritikala","2010","Primorsko-notranjska",3.8
"Tritikala","2010","Goriška",4.2
"Tritikala","2010","Obalno-kraška",3.3
"Tritikala","2011","Pomurska",4.5
"Tritikala","2011","Podravska",4.9
"Tritikala","2011","Koroška",3.5
"Tritikala","2011","Savinjska",4.4
"Tritikala","2011","Zasavska",3.5
"Tritikala","2011","Posavska",4.0
"Tritikala","2011","Jugovzhodna Slovenija",3.9
"Tritikala","2011","Osrednjeslovenska",4.3
"Tritikala","2011","Gorenjska",4.0
"Tritikala","2011","Primorsko-notranjska",4.1
"Tritikala","2011","Goriška",4.3
"Tritikala","2011","Obalno-kraška",4.7
"Tritikala","2012","Pomurska",4.4
"Tritikala","2012","Podravska",4.7
"Tritikala","2012","Koroška",3.5
"Tritikala","2012","Savinjska",4.4
"Tritikala","2012","Zasavska",3.5
"Tritikala","2012","Posavska",4.5
"Tritikala","2012","Jugovzhodna Slovenija",3.8
"Tritikala","2012","Osrednjeslovenska",4.5
"Tritikala","2012","Gorenjska",4.5
"Tritikala","2012","Primorsko-notranjska",3.3
"Tritikala","2012","Goriška",3.3
"Tritikala","2012","Obalno-kraška",3.4
"Tritikala","2013","Pomurska",3.0
"Tritikala","2013","Podravska",4.4
"Tritikala","2013","Koroška",3.4
"Tritikala","2013","Savinjska",4.7
"Tritikala","2013","Zasavska",3.5
"Tritikala","2013","Posavska",3.8
"Tritikala","2013","Jugovzhodna Slovenija",2.8
"Tritikala","2013","Osrednjeslovenska",3.9
"Tritikala","2013","Gorenjska",4.7
"Tritikala","2013","Primorsko-notranjska",4.1
"Tritikala","2013","Goriška",2.9
"Tritikala","2013","Obalno-kraška",3.6
"Tritikala","2014","Pomurska",4.8
"Tritikala","2014","Podravska",5.1
"Tritikala","2014","Koroška",3.6
"Tritikala","2014","Savinjska",5.1
"Tritikala","2014","Zasavska",4.0
"Tritikala","2014","Posavska",4.5
"Tritikala","2014","Jugovzhodna Slovenija",4.0
"Tritikala","2014","Osrednjeslovenska",4.8
"Tritikala","2014","Gorenjska",5.1
"Tritikala","2014","Primorsko-notranjska",4.4
"Tritikala","2014","Goriška",3.7
"Tritikala","2014","Obalno-kraška",4.1
"Tritikala","2015","Pomurska",4.4
"Tritikala","2015","Podravska",5.0
"Tritikala","2015","Koroška",4.1
"Tritikala","2015","Savinjska",5.2
"Tritikala","2015","Zasavska",3.5
"Tritikala","2015","Posavska",4.5
"Tritikala","2015","Jugovzhodna Slovenija",4.4
"Tritikala","2015","Osrednjeslovenska",4.7
"Tritikala","2015","Gorenjska",5.7
"Tritikala","2015","Primorsko-notranjska",4.3
"Tritikala","2015","Goriška",4.3
"Tritikala","2015","Obalno-kraška",4.0
"Tritikala","2016","Pomurska",4.4
"Tritikala","2016","Podravska",5.1
"Tritikala","2016","Koroška",4.3
"Tritikala","2016","Savinjska",5.1
"Tritikala","2016","Zasavska",3.5
"Tritikala","2016","Posavska",4.6
"Tritikala","2016","Jugovzhodna Slovenija",4.3
"Tritikala","2016","Osrednjeslovenska",4.8
"Tritikala","2016","Gorenjska",5.1
"Tritikala","2016","Primorsko-notranjska",4.3
"Tritikala","2016","Goriška",3.8
"Tritikala","2016","Obalno-kraška",4.0
"Tritikala","2017","Pomurska",4.6
"Tritikala","2017","Podravska",4.8
"Tritikala","2017","Koroška",4.3
"Tritikala","2017","Savinjska",4.6
"Tritikala","2017","Zasavska",3.4
"Tritikala","2017","Posavska",3.9
"Tritikala","2017","Jugovzhodna Slovenija",3.9
"Tritikala","2017","Osrednjeslovenska",4.9
